Manufacturer;Model;Size;LCD Type;Resolution;Range;Interface;LFC;Freesync 2;HDR
AOC;2791G5/C2791VHE/WS;27";VA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;27N1G5/ 27N1H;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;27V2G5 /27V2H;27";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;27V2G5/27V2Q;27";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;C24G1;24";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;C2789FH8;27";MVA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;C27G1;27";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;C32G1;32";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;G2260VWQ6;22";TN;1920x1080;48-75 via DisplayPort;DisplayPort™;Yes;No;No
AOC;G2460PF;24";TN;1920x1080;35-144 via DisplayPort 35-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;G2460VQ6;24";TN;1920x1080;35-75 via DisplayPort 35-75 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;G2590FX;24";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;G2590VXQ;24";TN;1920x1080;30-75 via DisplayPort 30-75 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;G2770PF;27";TN;1920x1080;35-144 via DisplayPort 35-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;G2770PGF;27";TN;1920x1080;48-144 via DisplayPort;DisplayPort™;Yes;No;No
AOC;G2778V;27";NA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;G2778VF;27";TN;2560x1440;48-75 via DisplayPort 75-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;G2778VQ;27";TN;1920x1080;48-75 via DisplayPort;DisplayPort™;Yes;No;No
AOC;KG251Q/ KG251Q F;24";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;Q3279VWF;32";VA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;Q3279VWFD8;32";IPS;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;Q3279WG5B/Q3279VWF8;32";VA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;Q32G1WG4/ CQ32G1;32";NA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;U2879VF;28";TN;3840x2160;40-62 via DisplayPort;DisplayPort™;Yes;No;No
AOPEN;24HC1QR;24";VA;1920x1080;48-144 via DisplayPort;DisplayPort™;Yes;No;No
AOPEN;24ML1Y;24";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOPEN;24MX1;24";TN;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOPEN;27HC1R P;27";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOPEN;27MX1U;27";TN;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOPEN;32HC1QUR P;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Philips;BE320QK;32";IPS;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;Yes
Asus;AG271FG4/AG271FX;27";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;MG248/MG248QE;24";TN;1920x1080;40-144 via DisplayPort;DisplayPort™;Yes;No;No
Asus;MG248Q;24";TN;1920x1080;40-144 via DisplayPort;DisplayPort™;Yes;No;No
Asus;MG248/MG248QR;24";TN;1920x1080;40-144 via DisplayPort;DisplayPort™;Yes;No;No
Asus;MG24U;24";IPS;3840x2160;40-60 via DisplayPort;DisplayPort™;Yes;No;No
Asus;MG278Q;27";TN;2560x1440;40-144 via DisplayPort;DisplayPort™;Yes;No;No
Asus;MG279Q;27";VA;2560x1440;35-90 via DisplayPort;DisplayPort™;Yes;No;No
Asus;MG28U;28";IPS;3840x2160;40-60 via DisplayPort 40-60 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;MX32VQ;32";VA;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;MX34V/MX34VQ;34";VA;3440x1440;48-100 via DisplayPort 48-100 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;MX34VQ;34";VA;3840x2160;48-100 via DisplayPort 100-100 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VG245H;24";TN;1920x1080;40-75 via DisplayPort 40-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VG245Q;24";TN;1920x1080;40-75 via DisplayPort 40-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VG248/VG248QG;24";TN;1920x1080;40-144 via DisplayPort;DisplayPort™;Yes;No;No
Asus;VG255/VG255H;25";TN;1920x1080;40-75 via HDMI;HDMI®;Yes;No;No
Asus;VG258/VG258Q;25";TN;1920x1080;40-120 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VG258/VG258QR;24";TN;1920x1080;40-165 via DisplayPort 40-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VG275/VG275Q;27";TN;1920x1080;40-75 via DisplayPort 40-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VG275Q;27";TN;1920x1080;40-75 via DisplayPort 75-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VG278/VG278QE;27";TN;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VG278/VG278QF;27";TN;1920x1080;40-165 via DisplayPort 40-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VG278/VG278QR;27";TN;1920x1080;40-165 via DisplayPort 40-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VG278Q;27";TN;1920x1080;40-144 via DisplayPort 40-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Asus;VL279/VL279H;27";VA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Asus;VL279/VL279HE;27";VA;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
Asus;VP228/ VP228QG;22";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VP247/VP247QG;24";TN;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VP247QG;24";TN;1920x1080;48-75 via DisplayPort;DisplayPort™;Yes;No;No
Asus;VP278/VP278QG;27";TN;1920x1080;47-75 via DisplayPort 47-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Asus;VP278QG;27";TN;1920x1080;48-75 via DisplayPort;DisplayPort™;Yes;No;No
